dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000029,3.640000,0.000074,0.007445,0.372273,18.613647,6.283161
0.020000,0.000260,3.640000,0.000305,0.011517,0.203570,-8.435127,6.282974
0.020000,0.000720,3.640000,0.000765,0.023033,0.575793,18.611134,6.282599
0.020000,0.001411,3.639999,0.001456,0.034547,0.575693,-0.005008,6.282036
0.020000,0.002332,3.639998,0.002378,0.046057,0.575544,-0.007448,6.281286
0.020000,0.003484,3.639995,0.003529,0.057564,0.575346,-0.009881,6.280348
0.020000,0.004865,3.639990,0.004910,0.069066,0.575102,-0.012205,6.279221
0.020000,0.006476,3.639983,0.006521,0.080563,0.574813,-0.014462,6.277906
0.020000,0.008317,3.639972,0.008362,0.092052,0.574481,-0.016615,6.276402
0.020000,0.010388,3.639956,0.010433,0.103534,0.574108,-0.018624,6.274708
0.020000,0.012688,3.639934,0.012733,0.115008,0.573698,-0.020531,6.272825
0.020000,0.015217,3.639906,0.015263,0.126473,0.573253,-0.022236,6.270751
0.020000,0.017976,3.639868,0.018021,0.137929,0.572777,-0.023778,6.268487
0.020000,0.020963,3.639821,0.021009,0.149375,0.572275,-0.025098,6.266031
0.020000,0.024178,3.639761,0.024225,0.160810,0.571751,-0.026218,6.263383
0.020000,0.027622,3.639688,0.027670,0.172234,0.571210,-0.027055,6.260542
0.020000,0.031294,3.639599,0.031343,0.183647,0.570657,-0.027644,6.257508
0.020000,0.035194,3.639493,0.035244,0.195049,0.570099,-0.027907,6.254281
0.020000,0.039320,3.639366,0.039372,0.206440,0.569542,-0.027865,6.250859
0.020000,0.043674,3.639218,0.043729,0.217820,0.568993,-0.027449,6.247242
0.020000,0.048255,3.639044,0.048313,0.229189,0.568459,-0.026665,6.243429
0.020000,0.053062,3.638843,0.053124,0.240548,0.567950,-0.025459,6.239420
0.020000,0.058094,3.638612,0.058161,0.251897,0.567474,-0.023814,6.235214
0.020000,0.063352,3.638348,0.063426,0.263238,0.567040,-0.021696,6.230811
0.020000,0.068836,3.638048,0.068918,0.274571,0.566658,-0.019074,6.226211
0.020000,0.074543,3.637709,0.074636,0.285898,0.566340,-0.015912,6.221412
0.020000,0.080476,3.637327,0.080580,0.297220,0.566097,-0.012182,6.216415
0.020000,0.086632,3.636900,0.086751,0.308539,0.565939,-0.007857,6.211220
0.020000,0.093011,3.636422,0.093148,0.319856,0.565882,-0.002893,6.205826
0.020000,0.099613,3.635892,0.099771,0.331175,0.565936,0.002740,6.200234
0.020000,0.106438,3.635305,0.106621,0.342497,0.566117,0.009046,6.194443
0.020000,0.113485,3.634656,0.113698,0.353826,0.566439,0.016104,6.188455
0.020000,0.120753,3.633943,0.121001,0.365165,0.566917,0.023889,6.182269
0.020000,0.128242,3.633161,0.128532,0.376516,0.567566,0.032465,6.175887
0.020000,0.135953,3.632304,0.136289,0.387884,0.568403,0.041825,6.169309
