dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000031,4.360000,0.000074,0.007449,0.372452,18.622619,0.000002
0.020000,0.000323,4.360000,0.000367,0.014613,0.358181,-0.713592,0.000018
0.020000,0.000907,4.360000,0.000951,0.029226,0.730678,18.624896,0.000049
0.020000,0.001784,4.360000,0.001828,0.043842,0.730770,0.004554,0.000097
0.020000,0.002953,4.360000,0.002997,0.058460,0.730906,0.006824,0.000159
0.020000,0.004415,4.360001,0.004459,0.073081,0.731088,0.009100,0.000238
0.020000,0.006169,4.360001,0.006213,0.087708,0.731315,0.011360,0.000331
0.020000,0.008216,4.360002,0.008260,0.102340,0.731588,0.013622,0.000439
0.020000,0.010555,4.360003,0.010599,0.116978,0.731905,0.015876,0.000562
0.020000,0.013188,4.360005,0.013232,0.131623,0.732268,0.018120,0.000699
0.020000,0.016113,4.360007,0.016157,0.146277,0.732675,0.020356,0.000849
0.020000,0.019332,4.360010,0.019376,0.160939,0.733126,0.022585,0.001012
0.020000,0.022844,4.360014,0.022888,0.175611,0.733622,0.024801,0.001188
0.020000,0.026650,4.360019,0.026694,0.190295,0.734163,0.027006,0.001376
0.020000,0.030750,4.360025,0.030794,0.204990,0.734747,0.029201,0.001575
0.020000,0.035144,4.360032,0.035188,0.219697,0.735374,0.031384,0.001785
0.020000,0.039832,4.360041,0.039876,0.234418,0.736045,0.033553,0.002004
0.020000,0.044816,4.360052,0.044859,0.249153,0.736759,0.035710,0.002233
0.020000,0.050094,4.360064,0.050138,0.263904,0.737517,0.037853,0.002469
0.020000,0.055667,4.360078,0.055711,0.278670,0.738316,0.039989,0.002714
0.020000,0.061536,4.360095,0.061580,0.293453,0.739158,0.042103,0.002964
0.020000,0.067701,4.360114,0.067745,0.308254,0.740043,0.044213,0.003220
0.020000,0.074162,4.360136,0.074207,0.323073,0.740969,0.046306,0.003480
0.020000,0.080921,4.360160,0.080965,0.337912,0.741937,0.048390,0.003744
0.020000,0.087976,4.360188,0.088020,0.352771,0.742946,0.050461,0.004010
0.020000,0.095329,4.360218,0.095373,0.367651,0.743996,0.052528,0.004276
0.020000,0.102980,4.360252,0.103024,0.382553,0.745088,0.054578,0.004543
0.020000,0.110929,4.360289,0.110974,0.397477,0.746220,0.056630,0.004808
0.020000,0.119178,4.360330,0.119222,0.412425,0.747394,0.058671,0.005070
0.020000,0.127726,4.360374,0.127770,0.427397,0.748608,0.060710,0.005328
0.020000,0.136573,4.360422,0.136618,0.442394,0.749863,0.062747,0.005581
0.020000,0.145722,4.360475,0.145767,0.457418,0.751159,0.064787,0.005827
0.020000,0.155171,4.360531,0.155216,0.472467,0.752495,0.066826,0.006064
0.020000,0.164921,4.360591,0.164967,0.487545,0.753873,0.068873,0.006292
0.020000,0.174974,4.360655,0.175020,0.502651,0.755291,0.070928,0.006507
0.020000,0.185330,4.360724,0.185375,0.517786,0.756751,0.072995,0.006710
0.020000,0.195989,4.360796,0.196034,0.532951,0.758253,0.075077,0.006898
0.020000,0.206951,4.360873,0.206997,0.548147,0.759796,0.077178,0.007069
0.020000,0.218218,4.360954,0.218265,0.563374,0.761382,0.079301,0.007222
0.020000,0.229791,4.361038,0.229838,0.578635,0.763011,0.081452,0.007355
0.020000,0.241669,4.361126,0.241716,0.593928,0.764684,0.083635,0.007466
0.020000,0.253854,4.361217,0.253901,0.609256,0.766401,0.085855,0.007553
0.020000,0.266346,4.361312,0.266394,0.624620,0.768164,0.088116,0.007614
0.020000,0.279146,4.361410,0.279194,0.640019,0.769972,0.090426,0.007647
0.020000,0.292255,4.361510,0.292303,0.655456,0.771828,0.092788,0.007651
0.020000,0.305673,4.361613,0.305722,0.670930,0.773732,0.095210,0.007622
0.020000,0.319401,4.361717,0.319451,0.686444,0.775686,0.097700,0.007559
0.020000,0.333441,4.361822,0.333491,0.701998,0.777691,0.100263,0.007460
0.020000,0.347792,4.361929,0.347842,0.717593,0.779749,0.102906,0.007322
0.020000,0.362457,4.362035,0.362507,0.733230,0.781862,0.105641,0.007143
0.020000,0.377434,4.362140,0.377485,0.748911,0.784032,0.108471,0.006920
0.020000,0.392727,4.362244,0.392778,0.764636,0.786260,0.111410,0.006652
0.020000,0.408335,4.362345,0.408386,0.780407,0.788549,0.114465,0.006335
0.020000,0.424259,4.362443,0.424311,0.796225,0.790902,0.117646,0.005967
0.020000,0.440500,4.362537,0.440552,0.812091,0.793321,0.120965,0.005545
0.020000,0.457060,4.362625,0.457113,0.828007,0.795810,0.124432,0.005066
0.020000,0.473939,4.362706,0.473992,0.843975,0.798371,0.128060,0.004528
0.020000,0.491139,4.362779,0.491192,0.859995,0.801008,0.131862,0.003928
0.020000,0.508661,4.362842,0.508713,0.876070,0.803725,0.135849,0.003263
0.020000,0.526504,4.362893,0.526557,0.892200,0.806526,0.140040,0.002529
0.020000,0.544672,4.362932,0.544725,0.908388,0.809415,0.144446,0.001723
0.020000,0.563165,4.362956,0.563218,0.924636,0.812397,0.149086,0.000842
0.020000,0.581984,4.362963,0.582037,0.940946,0.815476,0.153974,6.283068
0.020000,0.601130,4.362951,0.601183,0.957319,0.818659,0.159132,6.282027
0.020000,0.620605,4.362917,0.620658,0.973758,0.821950,0.164575,6.280901
0.020000,0.640411,4.362860,0.640464,0.990265,0.825357,0.170328,6.279685
0.020000,0.660547,4.362777,0.660601,1.006843,0.828885,0.176408,6.278375
0.020000,0.681017,4.362664,0.681070,1.023494,0.832542,0.182842,6.276968
0.020000,0.701821,4.362519,0.701875,1.040220,0.836335,0.189656,6.275460
0.020000,0.722960,4.362339,0.723015,1.057026,0.840272,0.196863,6.273846
0.020000,0.744438,4.362120,0.744494,1.073913,0.844363,0.204513,6.272121
0.020000,0.766254,4.361858,0.766311,1.090885,0.848615,0.212612,6.270281
0.020000,0.788411,4.361551,0.788470,1.107946,0.853039,0.221209,6.268321
0.020000,0.810910,4.361193,0.810972,1.125099,0.857646,0.230330,6.266235
0.020000,0.833753,4.360781,0.833819,1.142348,0.862446,0.240002,6.264019
0.020000,0.856942,4.360309,0.857013,1.159697,0.867451,0.250279,6.261667
0.020000,0.880479,4.359774,0.880556,1.177151,0.872675,0.261184,6.259173
0.020000,0.904366,4.359169,0.904450,1.194713,0.878130,0.272770,6.256531
0.020000,0.928604,4.358489,0.928698,1.212390,0.883832,0.285070,6.253734
0.020000,0.953196,4.357728,0.953302,1.230186,0.889795,0.298142,6.250776
0.020000,0.978143,4.356880,0.978264,1.248106,0.896035,0.312023,6.247651
0.020000,1.003449,4.355939,1.003587,1.266158,0.902571,0.326773,6.244350
0.020000,1.029115,4.354898,1.029274,1.284346,0.909419,0.342429,6.240867
0.020000,1.055143,4.353748,1.055328,1.302678,0.916601,0.359071,6.237192
0.020000,1.081536,4.352482,1.081751,1.321161,0.924135,0.376728,6.233319
0.020000,1.108296,4.351092,1.108547,1.339802,0.932045,0.395476,6.229238
