dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000039,1.360000,0.000049,0.004936,0.246792,12.339576,0.000000
0.020000,0.000237,1.360000,0.000247,0.009872,0.246792,-0.000000,0.000000
0.020000,0.000632,1.360000,0.000642,0.019743,0.493583,12.339576,0.000000
0.020000,0.001224,1.360000,0.001234,0.029615,0.493583,0.000000,0.000000
0.020000,0.002014,1.360000,0.002024,0.039487,0.493583,0.000000,0.000000
0.020000,0.003001,1.360000,0.003011,0.049358,0.493583,-0.000000,0.000000
0.020000,0.004185,1.360000,0.004195,0.059230,0.493583,0.000000,0.000000
0.020000,0.005567,1.360000,0.005577,0.069102,0.493583,0.000000,0.000000
0.020000,0.007147,1.360000,0.007157,0.078973,0.493583,-0.000000,0.000000
0.020000,0.008924,1.360000,0.008934,0.088845,0.493583,0.000000,0.000000
0.020000,0.010898,1.360000,0.010908,0.098717,0.493583,-0.000000,0.000000
0.020000,0.013070,1.360000,0.013080,0.108588,0.493583,0.000000,0.000000
0.020000,0.015439,1.360000,0.015449,0.118460,0.493583,-0.000000,0.000000
0.020000,0.018006,1.360000,0.018016,0.128332,0.493583,-0.000000,0.000000
0.020000,0.020770,1.360000,0.020780,0.138203,0.493583,0.000000,0.000000
0.020000,0.023731,1.360000,0.023741,0.148075,0.493583,0.000000,0.000000
0.020000,0.026890,1.360000,0.026900,0.157947,0.493583,-0.000000,0.000000
0.020000,0.030247,1.360000,0.030257,0.167818,0.493583,-0.000000,0.000000
0.020000,0.033800,1.360000,0.033810,0.177690,0.493583,-0.000000,0.000000
0.020000,0.037552,1.360000,0.037562,0.187562,0.493583,0.000000,0.000000
0.020000,0.041500,1.360000,0.041510,0.197433,0.493583,0.000000,0.000000
0.020000,0.045646,1.360000,0.045656,0.207305,0.493583,0.000000,0.000000
0.020000,0.049990,1.360000,0.050000,0.217177,0.493583,-0.000000,0.000000
0.020000,0.054531,1.360000,0.054541,0.227048,0.493583,0.000000,0.000000
0.020000,0.059269,1.360000,0.059279,0.236920,0.493583,0.000000,0.000000
0.020000,0.064205,1.360000,0.064215,0.246792,0.493583,0.000000,0.000000
0.020000,0.069338,1.360000,0.069348,0.256663,0.493583,0.000000,0.000000
0.020000,0.074669,1.360000,0.074679,0.266535,0.493583,-0.000000,0.000000
0.020000,0.080197,1.360000,0.080207,0.276407,0.493583,-0.000000,0.000000
0.020000,0.085923,1.360000,0.085933,0.286278,0.493583,0.000000,0.000000
0.020000,0.091846,1.360000,0.091856,0.296150,0.493583,-0.000000,0.000000
0.020000,0.097966,1.360000,0.097976,0.306021,0.493583,0.000000,0.000000
0.020000,0.104284,1.360000,0.104294,0.315893,0.493583,-0.000000,0.000000
0.020000,0.110799,1.360000,0.110809,0.325765,0.493583,0.000000,0.000000
0.020000,0.117512,1.360000,0.117522,0.335636,0.493583,0.000000,0.000000
0.020000,0.124422,1.360000,0.124432,0.345508,0.493583,-0.000000,0.000000
0.020000,0.131530,1.360000,0.131540,0.355380,0.493583,-0.000000,0.000000
0.020000,0.138835,1.360000,0.138845,0.365251,0.493583,0.000000,0.000000
0.020000,0.146337,1.360000,0.146347,0.375123,0.493583,0.000000,0.000000
0.020000,0.154037,1.360000,0.154047,0.384995,0.493583,-0.000000,0.000000
0.020000,0.161935,1.360000,0.161945,0.394866,0.493583,0.000000,0.000000
0.020000,0.170029,1.360000,0.170039,0.404738,0.493583,0.000000,0.000000
0.020000,0.178322,1.360000,0.178332,0.414610,0.493583,0.000000,0.000000
0.020000,0.186811,1.360000,0.186821,0.424481,0.493583,0.000000,0.000000
0.020000,0.195498,1.360000,0.195508,0.434353,0.493583,-0.000000,0.000000
0.020000,0.204383,1.360000,0.204393,0.444225,0.493583,0.000000,0.000000
0.020000,0.213465,1.360000,0.213475,0.454096,0.493583,0.000000,0.000000
0.020000,0.222744,1.360000,0.222754,0.463968,0.493583,-0.000000,0.000000
0.020000,0.232221,1.360000,0.232231,0.473840,0.493583,-0.000000,0.000000
0.020000,0.241895,1.360000,0.241905,0.483711,0.493583,0.000000,0.000000
0.020000,0.251767,1.360000,0.251777,0.493583,0.493583,-0.000000,0.000000
0.020000,0.261836,1.360000,0.261846,0.503455,0.493583,0.000000,0.000000
0.020000,0.272102,1.360000,0.272112,0.513326,0.493583,0.000000,0.000000
0.020000,0.282566,1.360000,0.282576,0.523198,0.493583,-0.000000,0.000000
0.020000,0.293228,1.360000,0.293238,0.533070,0.493583,0.000000,0.000000
0.020000,0.304087,1.360000,0.304097,0.542941,0.493583,-0.000000,0.000000
0.020000,0.315143,1.360000,0.315153,0.552813,0.493583,-0.000000,0.000000
0.020000,0.326396,1.360000,0.326406,0.562685,0.493583,0.000000,0.000000
0.020000,0.337848,1.360000,0.337858,0.572556,0.493583,-0.000000,0.000000
0.020000,0.349496,1.360000,0.349506,0.582428,0.493583,0.000000,0.000000
0.020000,0.361342,1.360000,0.361352,0.592300,0.493583,-0.000000,0.000000
0.020000,0.373386,1.360000,0.373396,0.602171,0.493583,-0.000000,0.000000
0.020000,0.385626,1.360000,0.385636,0.612043,0.493583,0.000000,0.000000
