dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000047,4.360000,0.000074,0.007445,0.372273,18.613647,6.283161
0.020000,0.000412,4.360000,0.000440,0.018265,0.540976,8.435132,6.282974
0.020000,0.001142,4.360000,0.001170,0.036531,0.913299,18.616152,6.282599
0.020000,0.002238,4.359999,0.002266,0.054799,0.913398,0.004993,6.282036
0.020000,0.003700,4.359996,0.003728,0.073070,0.913548,0.007482,6.281286
0.020000,0.005527,4.359992,0.005555,0.091345,0.913745,0.009848,6.280348
0.020000,0.007719,4.359985,0.007747,0.109625,0.913989,0.012212,6.279221
0.020000,0.010277,4.359973,0.010305,0.127910,0.914278,0.014459,6.277906
0.020000,0.013201,4.359955,0.013229,0.146202,0.914610,0.016599,6.276402
0.020000,0.016491,4.359930,0.016519,0.164502,0.914983,0.018650,6.274708
0.020000,0.020147,4.359896,0.020176,0.182810,0.915393,0.020494,6.272825
0.020000,0.024170,4.359850,0.024198,0.201127,0.915838,0.022238,6.270751
0.020000,0.028558,4.359790,0.028587,0.219453,0.916313,0.023763,6.268487
0.020000,0.033313,4.359715,0.033343,0.237789,0.916816,0.025112,6.266031
0.020000,0.038435,4.359620,0.038466,0.256136,0.917339,0.026187,6.263383
0.020000,0.043924,4.359503,0.043956,0.274494,0.917881,0.027062,6.260542
0.020000,0.049779,4.359362,0.049813,0.292862,0.918433,0.027616,6.257508
0.020000,0.056002,4.359192,0.056038,0.311242,0.918991,0.027911,6.254281
0.020000,0.062592,4.358990,0.062630,0.329633,0.919548,0.027841,6.250859
0.020000,0.069548,4.358753,0.069591,0.348035,0.920097,0.027446,6.247242
0.020000,0.076872,4.358475,0.076920,0.366448,0.920630,0.026645,6.243429
0.020000,0.084563,4.358154,0.084617,0.384870,0.921139,0.025447,6.239420
0.020000,0.092620,4.357784,0.092683,0.403303,0.921615,0.023800,6.235214
0.020000,0.101044,4.357361,0.101118,0.421744,0.922048,0.021680,6.230811
0.020000,0.109835,4.356880,0.109922,0.440192,0.922429,0.019054,6.226211
0.020000,0.118992,4.356336,0.119095,0.458647,0.922747,0.015896,6.221412
0.020000,0.128514,4.355723,0.128637,0.477107,0.922991,0.012169,6.216415
0.020000,0.138402,4.355036,0.138549,0.495570,0.923147,0.007832,6.211220
0.020000,0.148654,4.354269,0.148829,0.514034,0.923205,0.002871,6.205826
0.020000,0.159270,4.353416,0.159479,0.532497,0.923150,-0.002744,6.200234
0.020000,0.170248,4.352472,0.170498,0.550956,0.922968,-0.009088,6.194443
0.020000,0.181589,4.351428,0.181887,0.569409,0.922646,-0.016110,6.188455
0.020000,0.193289,4.350280,0.193644,0.587853,0.922168,-0.023920,6.182269
0.020000,0.205349,4.349020,0.205769,0.606283,0.921518,-0.032479,6.175887
0.020000,0.217767,4.347641,0.218263,0.624697,0.920681,-0.041857,6.169309
0.020000,0.230540,4.346136,0.231125,0.643089,0.919640,-0.052028,6.162536
0.020000,0.243668,4.344498,0.244354,0.661457,0.918379,-0.063045,6.155570
0.020000,0.257147,4.342720,0.257950,0.679795,0.916881,-0.074904,6.148413
0.020000,0.270975,4.340793,0.271912,0.698097,0.915129,-0.087594,6.141066
0.020000,0.285150,4.338710,0.286239,0.716359,0.913107,-0.101136,6.133532
0.020000,0.299669,4.336464,0.300931,0.734575,0.910796,-0.115509,6.125813
0.020000,0.314528,4.334046,0.315985,0.752739,0.908183,-0.130692,6.117912
0.020000,0.329725,4.331448,0.331402,0.770844,0.905249,-0.146677,6.109833
0.020000,0.345254,4.328662,0.347180,0.788884,0.901980,-0.163430,6.101578
0.020000,0.361114,4.325681,0.363317,0.806851,0.898363,-0.180878,6.093153
0.020000,0.377298,4.322495,0.379812,0.824738,0.894383,-0.199007,6.084562
0.020000,0.393803,4.319098,0.396663,0.842539,0.890028,-0.217738,6.075808
0.020000,0.410623,4.315481,0.413867,0.860245,0.885288,-0.236999,6.066899
0.020000,0.427754,4.311635,0.431424,0.877848,0.880154,-0.256708,6.057838
