dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000032,3.640000,0.000074,0.007449,0.372452,18.622619,0.000002
0.020000,0.000335,3.640000,0.000378,0.015184,0.386724,0.713592,0.000018
0.020000,0.000943,3.640000,0.000985,0.030366,0.759131,18.620342,0.000049
0.020000,0.001854,3.640000,0.001896,0.045547,0.759040,-0.004552,0.000097
0.020000,0.003068,3.640000,0.003111,0.060725,0.758903,-0.006829,0.000159
0.020000,0.004586,3.640001,0.004629,0.075899,0.758722,-0.009093,0.000238
0.020000,0.006408,3.640001,0.006450,0.091069,0.758494,-0.011364,0.000331
0.020000,0.008532,3.640002,0.008575,0.106234,0.758222,-0.013622,0.000439
0.020000,0.010960,3.640003,0.011003,0.121392,0.757904,-0.015874,0.000562
0.020000,0.013691,3.640005,0.013734,0.136543,0.757542,-0.018120,0.000699
0.020000,0.016725,3.640007,0.016767,0.151685,0.757135,-0.020358,0.000849
0.020000,0.020061,3.640010,0.020104,0.166819,0.756683,-0.022583,0.001012
0.020000,0.023700,3.640014,0.023743,0.181943,0.756187,-0.024800,0.001188
0.020000,0.027641,3.640019,0.027684,0.197056,0.755647,-0.027008,0.001376
0.020000,0.031884,3.640026,0.031927,0.212157,0.755063,-0.029201,0.001575
0.020000,0.036429,3.640033,0.036472,0.227246,0.754435,-0.031383,0.001785
0.020000,0.041275,3.640042,0.041318,0.242321,0.753764,-0.033553,0.002004
0.020000,0.046423,3.640053,0.046466,0.257382,0.753050,-0.035710,0.002233
0.020000,0.051872,3.640066,0.051914,0.272428,0.752293,-0.037856,0.002469
0.020000,0.057621,3.640081,0.057664,0.287458,0.751493,-0.039984,0.002714
0.020000,0.063670,3.640098,0.063713,0.302471,0.750651,-0.042107,0.002964
0.020000,0.070019,3.640118,0.070062,0.317466,0.749767,-0.044210,0.003220
0.020000,0.076668,3.640140,0.076711,0.332443,0.748841,-0.046306,0.003480
0.020000,0.083616,3.640165,0.083659,0.347400,0.747873,-0.048389,0.003744
0.020000,0.090863,3.640193,0.090906,0.362338,0.746864,-0.050464,0.004010
0.020000,0.098408,3.640225,0.098451,0.377254,0.745813,-0.052523,0.004276
0.020000,0.106251,3.640259,0.106294,0.392148,0.744722,-0.054583,0.004543
0.020000,0.114391,3.640297,0.114434,0.407020,0.743589,-0.056627,0.004808
0.020000,0.122828,3.640339,0.122872,0.421868,0.742416,-0.058672,0.005070
0.020000,0.131562,3.640384,0.131606,0.436692,0.741201,-0.060710,0.005328
0.020000,0.140592,3.640434,0.140635,0.451491,0.739946,-0.062749,0.005581
0.020000,0.149917,3.640487,0.149961,0.466264,0.738651,-0.064784,0.005827
0.020000,0.159537,3.640544,0.159581,0.481011,0.737314,-0.066827,0.006064
0.020000,0.169451,3.640605,0.169495,0.495729,0.735937,-0.068873,0.006292
0.020000,0.179660,3.640671,0.179704,0.510420,0.734518,-0.070928,0.006507
0.020000,0.190161,3.640740,0.190205,0.525081,0.733058,-0.072994,0.006710
0.020000,0.200955,3.640814,0.201000,0.539712,0.731557,-0.075077,0.006898
0.020000,0.212041,3.640891,0.212086,0.554312,0.730013,-0.077177,0.007069
0.020000,0.223418,3.640972,0.223464,0.568881,0.728427,-0.079302,0.007222
0.020000,0.235086,3.641057,0.235132,0.583417,0.726798,-0.081452,0.007355
0.020000,0.247044,3.641146,0.247090,0.597919,0.725125,-0.083635,0.007466
0.020000,0.259292,3.641238,0.259338,0.612388,0.723408,-0.085855,0.007553
0.020000,0.271828,3.641333,0.271874,0.626820,0.721646,-0.088117,0.007614
0.020000,0.284652,3.641431,0.284699,0.641217,0.719837,-0.090425,0.007647
0.020000,0.297763,3.641531,0.297810,0.655577,0.717982,-0.092788,0.007651
0.020000,0.311160,3.641634,0.311208,0.669898,0.716078,-0.095211,0.007622
0.020000,0.324844,3.641738,0.324892,0.684181,0.714124,-0.097700,0.007559
0.020000,0.338812,3.641842,0.338860,0.698423,0.712118,-0.100263,0.007460
0.020000,0.353064,3.641948,0.353113,0.712624,0.710060,-0.102908,0.007322
0.020000,0.367599,3.642053,0.367649,0.726783,0.707947,-0.105640,0.007143
0.020000,0.382417,3.642157,0.382467,0.740899,0.705778,-0.108473,0.006920
0.020000,0.397516,3.642260,0.397566,0.754970,0.703550,-0.111411,0.006652
0.020000,0.412895,3.642360,0.412946,0.768995,0.701260,-0.114466,0.006335
0.020000,0.428555,3.642456,0.428605,0.782973,0.698907,-0.117647,0.005967
0.020000,0.444492,3.642548,0.444543,0.796903,0.696488,-0.120966,0.005545
0.020000,0.460708,3.642634,0.460759,0.810783,0.693999,-0.124434,0.005066
0.020000,0.477200,3.642713,0.477251,0.824612,0.691438,-0.128062,0.004528
0.020000,0.493967,3.642784,0.494019,0.838388,0.688801,-0.131863,0.003928
0.020000,0.511010,3.642845,0.511061,0.852109,0.686084,-0.135853,0.003263
0.020000,0.528325,3.642896,0.528377,0.865775,0.683283,-0.140043,0.002529
0.020000,0.545913,3.642933,0.545964,0.879383,0.680394,-0.144450,0.001723
0.020000,0.563771,3.642956,0.563823,0.892931,0.677412,-0.149089,0.000842
0.020000,0.581900,3.642963,0.581951,0.906418,0.674333,-0.153979,6.283068
0.020000,0.600296,3.642951,0.600348,0.919841,0.671150,-0.159135,6.282027
0.020000,0.618960,3.642919,0.619012,0.933198,0.667858,-0.164582,6.280901
0.020000,0.637890,3.642865,0.637942,0.946487,0.664452,-0.170333,6.279685
0.020000,0.657084,3.642785,0.657136,0.959706,0.660923,-0.176416,6.278375
0.020000,0.676541,3.642678,0.676593,0.972851,0.657266,-0.182850,6.276968
0.020000,0.696259,3.642540,0.696311,0.985920,0.653473,-0.189658,6.275460
0.020000,0.716236,3.642370,0.716290,0.998911,0.649536,-0.196879,6.273846
0.020000,0.736471,3.642164,0.736526,1.011820,0.645445,-0.204518,6.272121
0.020000,0.756963,3.641918,0.757019,1.024644,0.641193,-0.212628,6.270281
0.020000,0.777708,3.641631,0.777767,1.037379,0.636768,-0.221222,6.268321
0.020000,0.798706,3.641297,0.798767,1.050022,0.632161,-0.230339,6.266235
0.020000,0.819954,3.640913,0.820018,1.062570,0.627361,-0.240023,6.264019
0.020000,0.841450,3.640476,0.841519,1.075017,0.622355,-0.250293,6.261667
0.020000,0.863192,3.639981,0.863266,1.087359,0.617131,-0.261205,6.259173
0.020000,0.885176,3.639424,0.885258,1.099593,0.611675,-0.272789,6.256531
0.020000,0.907402,3.638801,0.907492,1.111712,0.605973,-0.285098,6.253734
0.020000,0.929865,3.638106,0.929966,1.123713,0.600010,-0.298167,6.250776
0.020000,0.952564,3.637335,0.952678,1.135588,0.593769,-0.312054,6.247651
0.020000,0.975495,3.636482,0.975625,1.147333,0.587233,-0.326800,6.244350
0.020000,0.998655,3.635542,0.998803,1.158940,0.580383,-0.342473,6.240867
0.020000,1.022040,3.634509,1.022212,1.170404,0.573201,-0.359105,6.237192
0.020000,1.045647,3.633377,1.045846,1.181718,0.565666,-0.376775,6.233319
0.020000,1.069472,3.632140,1.069703,1.192873,0.557755,-0.395527,6.229238
0.020000,1.093512,3.630790,1.093781,1.203862,0.549447,-0.415421,6.224939
0.020000,1.117761,3.629321,1.118074,1.214676,0.540716,-0.436533,6.220414
0.020000,1.142215,3.627726,1.142580,1.225307,0.531538,-0.458893,6.215651
0.020000,1.166869,3.625997,1.167295,1.235744,0.521887,-0.482589,6.210641
0.020000,1.191719,3.624126,1.192215,1.245979,0.511733,-0.507662,6.205372
0.020000,1.216757,3.622104,1.217335,1.256000,0.501050,-0.534162,6.199831
0.020000,1.241979,3.619924,1.242651,1.265796,0.489807,-0.562153,6.194008
