dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000070,0.640000,0.000100,0.010000,0.500000,25.000000,0.000000
0.020000,0.000370,0.640000,0.000400,0.015000,0.250000,-12.500000,0.000000
0.020000,0.000870,0.640000,0.000900,0.025000,0.500000,12.500000,0.000000
0.020000,0.001570,0.640000,0.001600,0.035000,0.500000,-0.000000,0.000000
0.020000,0.002470,0.640000,0.002500,0.045000,0.500000,0.000000,0.000000
0.020000,0.003570,0.640000,0.003600,0.055000,0.500000,-0.000000,0.000000
0.020000,0.004870,0.640000,0.004900,0.065000,0.500000,0.000000,0.000000
0.020000,0.006370,0.640000,0.006400,0.075000,0.500000,0.000000,0.000000
0.020000,0.008070,0.640000,0.008100,0.085000,0.500000,-0.000000,0.000000
0.020000,0.009970,0.640000,0.010000,0.095000,0.500000,0.000000,0.000000
0.020000,0.012070,0.640000,0.012100,0.105000,0.500000,0.000000,0.000000
0.020000,0.014370,0.640000,0.014400,0.115000,0.500000,0.000000,0.000000
0.020000,0.016870,0.640000,0.016900,0.125000,0.500000,-0.000000,0.000000
0.020000,0.019570,0.640000,0.019600,0.135000,0.500000,0.000000,0.000000
0.020000,0.022470,0.640000,0.022500,0.145000,0.500000,-0.000000,0.000000
0.020000,0.025570,0.640000,0.025600,0.155000,0.500000,-0.000000,0.000000
0.020000,0.028870,0.640000,0.028900,0.165000,0.500000,0.000000,0.000000
0.020000,0.032370,0.640000,0.032400,0.175000,0.500000,-0.000000,0.000000
0.020000,0.036070,0.640000,0.036100,0.185000,0.500000,0.000000,0.000000
0.020000,0.039970,0.640000,0.040000,0.195000,0.500000,-0.000000,0.000000
0.020000,0.044070,0.640000,0.044100,0.205000,0.500000,-0.000000,0.000000
0.020000,0.048370,0.640000,0.048400,0.215000,0.500000,0.000000,0.000000
0.020000,0.052870,0.640000,0.052900,0.225000,0.500000,0.000000,0.000000
0.020000,0.057570,0.640000,0.057600,0.235000,0.500000,-0.000000,0.000000
0.020000,0.062470,0.640000,0.062500,0.245000,0.500000,0.000000,0.000000
0.020000,0.067570,0.640000,0.067600,0.255000,0.500000,-0.000000,0.000000
0.020000,0.072870,0.640000,0.072900,0.265000,0.500000,0.000000,0.000000
0.020000,0.078370,0.640000,0.078400,0.275000,0.500000,-0.000000,0.000000
0.020000,0.084070,0.640000,0.084100,0.285000,0.500000,-0.000000,0.000000
0.020000,0.089970,0.640000,0.090000,0.295000,0.500000,0.000000,0.000000
0.020000,0.096070,0.640000,0.096100,0.305000,0.500000,-0.000000,0.000000
0.020000,0.102370,0.640000,0.102400,0.315000,0.500000,-0.000000,0.000000
0.020000,0.108870,0.640000,0.108900,0.325000,0.500000,0.000000,0.000000
0.020000,0.115570,0.640000,0.115600,0.335000,0.500000,-0.000000,0.000000
0.020000,0.122470,0.640000,0.122500,0.345000,0.500000,0.000000,0.000000
0.020000,0.129570,0.640000,0.129600,0.355000,0.500000,-0.000000,0.000000
0.020000,0.136870,0.640000,0.136900,0.365000,0.500000,0.000000,0.000000
0.020000,0.144370,0.640000,0.144400,0.375000,0.500000,-0.000000,0.000000
0.020000,0.152070,0.640000,0.152100,0.385000,0.500000,0.000000,0.000000
0.020000,0.159970,0.640000,0.160000,0.395000,0.500000,0.000000,0.000000
0.020000,0.168070,0.640000,0.168100,0.405000,0.500000,-0.000000,0.000000
0.020000,0.176370,0.640000,0.176400,0.415000,0.500000,0.000000,0.000000
0.020000,0.184870,0.640000,0.184900,0.425000,0.500000,0.000000,0.000000
0.020000,0.193570,0.640000,0.193600,0.435000,0.500000,0.000000,0.000000
0.020000,0.202470,0.640000,0.202500,0.445000,0.500000,-0.000000,0.000000
0.020000,0.211570,0.640000,0.211600,0.455000,0.500000,-0.000000,0.000000
0.020000,0.220870,0.640000,0.220900,0.465000,0.500000,0.000000,0.000000
0.020000,0.230370,0.640000,0.230400,0.475000,0.500000,-0.000000,0.000000
0.020000,0.240070,0.640000,0.240100,0.485000,0.500000,0.000000,0.000000
0.020000,0.249970,0.640000,0.250000,0.495000,0.500000,-0.000000,0.000000
0.020000,0.260070,0.640000,0.260100,0.505000,0.500000,0.000000,0.000000
0.020000,0.270370,0.640000,0.270400,0.515000,0.500000,0.000000,0.000000
0.020000,0.280870,0.640000,0.280900,0.525000,0.500000,-0.000000,0.000000
0.020000,0.291570,0.640000,0.291600,0.535000,0.500000,0.000000,0.000000
0.020000,0.302470,0.640000,0.302500,0.545000,0.500000,0.000000,0.000000
0.020000,0.313570,0.640000,0.313600,0.555000,0.500000,-0.000000,0.000000
0.020000,0.324870,0.640000,0.324900,0.565000,0.500000,0.000000,0.000000
0.020000,0.336370,0.640000,0.336400,0.575000,0.500000,-0.000000,0.000000
0.020000,0.348070,0.640000,0.348100,0.585000,0.500000,0.000000,0.000000
0.020000,0.359970,0.640000,0.360000,0.595000,0.500000,-0.000000,0.000000
0.020000,0.372070,0.640000,0.372100,0.605000,0.500000,0.000000,0.000000
0.020000,0.384370,0.640000,0.384400,0.615000,0.500000,-0.000000,0.000000
0.020000,0.396870,0.640000,0.396900,0.625000,0.500000,0.000000,0.000000
0.020000,0.409570,0.640000,0.409600,0.635000,0.500000,0.000000,0.000000
0.020000,0.422470,0.640000,0.422500,0.645000,0.500000,0.000000,0.000000
0.020000,0.435570,0.640000,0.435600,0.655000,0.500000,-0.000000,0.000000
0.020000,0.448870,0.640000,0.448900,0.665000,0.500000,0.000000,0.000000
0.020000,0.462370,0.640000,0.462400,0.675000,0.500000,0.000000,0.000000
0.020000,0.476070,0.640000,0.476100,0.685000,0.500000,0.000000,0.000000
0.020000,0.489970,0.640000,0.490000,0.695000,0.500000,-0.000000,0.000000
0.020000,0.504070,0.640000,0.504100,0.705000,0.500000,0.000000,0.000000
0.020000,0.518370,0.640000,0.518400,0.715000,0.500000,0.000000,0.000000
0.020000,0.532870,0.640000,0.532900,0.725000,0.500000,0.000000,0.000000
0.020000,0.547570,0.640000,0.547600,0.735000,0.500000,-0.000000,0.000000
0.020000,0.562470,0.640000,0.562500,0.745000,0.500000,0.000000,0.000000
0.020000,0.577570,0.640000,0.577600,0.755000,0.500000,0.000000,0.000000
0.020000,0.592870,0.640000,0.592900,0.765000,0.500000,-0.000000,0.000000
0.020000,0.608370,0.640000,0.608400,0.775000,0.500000,0.000000,0.000000
0.020000,0.624070,0.640000,0.624100,0.785000,0.500000,0.000000,0.000000
0.020000,0.639970,0.640000,0.640000,0.795000,0.500000,0.000000,0.000000
0.020000,0.656070,0.640000,0.656100,0.805000,0.500000,-0.000000,0.000000
0.020000,0.672370,0.640000,0.672400,0.815000,0.500000,0.000000,0.000000
0.020000,0.688870,0.640000,0.688900,0.825000,0.500000,0.000000,0.000000
0.020000,0.705570,0.640000,0.705600,0.835000,0.500000,0.000000,0.000000
0.020000,0.722470,0.640000,0.722500,0.845000,0.500000,-0.000000,0.000000
0.020000,0.739570,0.640000,0.739600,0.855000,0.500000,0.000000,0.000000
0.020000,0.756870,0.640000,0.756900,0.865000,0.500000,-0.000000,0.000000
0.020000,0.774370,0.640000,0.774400,0.875000,0.500000,-0.000000,0.000000
0.020000,0.792070,0.640000,0.792100,0.885000,0.500000,0.000000,0.000000
0.020000,0.809970,0.640000,0.810000,0.895000,0.500000,0.000000,0.000000
0.020000,0.828070,0.640000,0.828100,0.905000,0.500000,-0.000000,0.000000
0.020000,0.846370,0.640000,0.846400,0.915000,0.500000,0.000000,0.000000
0.020000,0.864870,0.640000,0.864900,0.925000,0.500000,-0.000000,0.000000
0.020000,0.883570,0.640000,0.883600,0.935000,0.500000,0.000000,0.000000
0.020000,0.902470,0.640000,0.902500,0.945000,0.500000,-0.000000,0.000000
0.020000,0.921570,0.640000,0.921600,0.955000,0.500000,0.000000,0.000000
0.020000,0.940870,0.640000,0.940900,0.965000,0.500000,-0.000000,0.000000
0.020000,0.960370,0.640000,0.960400,0.975000,0.500000,0.000000,0.000000
0.020000,0.980070,0.640000,0.980100,0.985000,0.500000,0.000000,0.000000
0.020000,0.999970,0.640000,1.000000,0.995000,0.500000,-0.000000,0.000000
0.020000,1.019970,0.640000,1.020000,1.000000,0.250000,-12.500000,0.000000
0.020000,1.039970,0.640000,1.040000,1.000000,0.000000,-12.500000,0.000000
0.020000,1.059970,0.640000,1.060000,1.000000,-0.000000,-0.000000,0.000000
0.020000,1.079970,0.640000,1.080000,1.000000,0.000000,0.000000,0.000000
0.020000,1.099970,0.640000,1.100000,1.000000,0.000000,-0.000000,0.000000
0.020000,1.119970,0.640000,1.120000,1.000000,0.000000,0.000000,0.000000
